scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio,fixed_value,fixed_variable,scanned_variable
egm,0.27,0.1,0.27,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.74027489626556,3.165280082987552,1.3343827800829875,0.21722510373443984,0.7575757575757577,1.0620412813665001,187.78057820746014,1462.618220301248,375.2255773059485,3543.462092717714,117.61984923637218,209.93431888586653,174.16550424849498,362.5545985346606,154.88010079707524,76.89870120172321,0.17520703005843563,0.6592436129106541,0.23412209896270417,0.5004471698216593,0.39015114629501574,0.4127653074960567,0.07275736720945732,1.212425464866473,0.1,muIsoCut,egmIsoCut
egm,0.28,0.1,0.28,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.74027489626556,3.165280082987552,1.3343827800829875,0.21722510373443984,0.7575757575757577,1.0620341083821125,187.78317946160558,1500.979809748042,375.2229760518031,3505.1005032709195,117.61984926513652,212.49352115440638,174.16550422906943,361.0606024369087,160.68073103232155,79.71166423224685,0.14432841379611128,0.683696734510354,0.19074704074916377,0.5004575717550952,0.3901567257342652,0.42822732425142873,0.07497415536895308,1.1686726731647261,0.1,muIsoCut,egmIsoCut
egm,0.29,0.1,0.29,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.771307053941909,3.165280082987552,1.303350622406639,0.21722510373443984,0.759170653907496,1.0639870619501541,187.87551711996198,1641.265943403751,375.13063839344665,3364.8143696152106,117.6198855100471,242.40032666415362,174.16547975165128,341.70211705199193,182.9786352204861,91.06397586355162,0.02606450257352655,0.7789184231047148,0.0329198256410947,0.5008269063933757,0.3903549385598519,0.4877731022027943,0.0874262636785654,1.0267620418830603,0.1,muIsoCut,egmIsoCut
egm,0.3,0.1,0.3,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.802339211618257,3.165280082987552,1.2723184647302905,0.21722510373443984,0.7607655502392344,1.0661872332537834,187.87811837410743,1678.5984845636199,375.1280371393012,3327.4818284553417,117.61988553881143,244.6036593704271,174.16547973222575,340.1283654553052,189.23900628832766,94.0959460532428,-0.007243461484484293,0.8052730654354002,-0.009034822255478301,0.5008373135925859,0.3903605236871954,0.5044651093835864,0.08979270661144696,0.9928086289348468,0.1,muIsoCut,egmIsoCut
egm,0.31,0.1,0.31,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.864403526970955,3.165280082987552,1.2102541493775933,0.21722510373443984,0.7639553429027114,1.0706016002231526,187.87811837791062,1695.7184045209835,375.128037135498,3310.3619084979778,117.61988553881143,244.8273357118641,174.16547973222575,339.967396749941,192.15769580647455,95.4911328782857,-0.022778477161218502,0.8175074101670425,-0.02824757805297114,0.500837313607802,0.39036052369536145,0.5122456249173033,0.09075912883975647,0.9777288262611457,0.1,muIsoCut,egmIsoCut
egm,0.32,0.1,0.32,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.864403526970955,3.165280082987552,1.2102541493775933,0.21722510373443984,0.7639553429027114,1.0621917891273462,190.94170337908014,1714.114740744742,372.06445213432846,3291.965572274219,117.65970891698299,244.98224231923226,174.13857901708707,339.8557872288518,193.73263416906832,96.8933577139229,-0.01461666435669784,0.8052319477888262,-0.01831068339817525,0.5131952334703113,0.3971106283753997,0.520696435947404,0.09180272745721804,0.9855939047029497,0.1,muIsoCut,egmIsoCut
egm,0.33,0.1,0.33,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.864403526970955,3.165280082987552,1.2102541493775933,0.21722510373443984,0.7639553429027114,1.0621126878538039,190.9708650158015,1791.0995906481812,372.0352904976071,3214.9807223707803,117.65971253079886,249.42679017028172,174.13857657535053,336.60738481211587,207.26477514476727,103.51722247705844,-0.08532144485818582,0.8607908810608882,-0.10397153742951892,0.5133138438570516,0.3971753437388248,0.5571105226806444,0.09706377216531177,0.9213860140123423,0.1,muIsoCut,egmIsoCut
egm,0.34,0.1,0.34,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.864403526970955,3.165280082987552,1.2102541493775933,0.21722510373443984,0.7639553429027114,1.060324749223929,191.63175278931897,1806.1685105484275,371.37440272408963,3199.911802470534,117.66156860027718,249.6434934434227,174.13732247580273,336.4466991160195,209.6197624278607,104.81528879389461,-0.09386758392967298,0.8661744019459042,-0.11415382577367579,0.516006895961784,0.39865023365754304,0.5644432165767667,0.09802305019486929,0.9141874342848176,0.1,muIsoCut,egmIsoCut
egm,0.35000000000000003,0.1,0.35000000000000003,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.895435684647303,3.165280082987552,1.1792219917012448,0.21722510373443984,0.7655502392344499,1.0625110952950245,191.63175279185447,1825.8492844533348,371.3744027215542,3180.2310285656263,117.66156860027718,249.88055357392398,174.13732247580273,336.2706709040961,213.21522913989824,106.56010757021883,-0.1126299584155408,0.8808566638323894,-0.1359650061014018,0.5160068959721341,0.3986502336632103,0.574124731207608,0.09929265729439309,0.8987714131157015,0.1,muIsoCut,egmIsoCut
egm,0.36,0.1,0.36,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0668834569202656,191.6317527943899,1833.6849655864928,371.3744027190187,3172.3953474324685,117.66156860027718,249.90467085784263,174.13732247580273,336.25274816443493,214.65914058305256,107.25982474636312,-0.12016478194701774,0.8867497044250766,-0.14463219904412278,0.5160068959824843,0.39865023366887753,0.5780127521213769,0.0997944052918342,0.8927257990220395,0.1,muIsoCut,egmIsoCut
