scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.1,0.1,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.630088174273858,2.482572614107884,3.444569502074689,0.8999325726141079,0.6491228070175438,2.288060886794062,26.536116375432577,559.5692313981295,536.4700391379762,4446.511081620832,10.155533781502623,84.06438812713074,209.91645228074,410.42835405648174,67.51183612459063,28.974975742279923,2.5441490823085857,1.4629688207831963,-1.3345765916682104,0.04946430264413645,0.0270734454410328,0.12584456017911388,0.02218905613065296,0.3930587271609847
mu,0.11,0.11,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.002474066390041,2.110186721991701,3.5997302904564314,0.7447717842323651,0.6682615629984051,2.347543282270471,26.63365653954438,559.4716912340177,579.3335208296971,4403.647599929111,10.155954222200135,84.06433733404847,212.58199083011837,409.0540892429122,73.60277981652445,29.97470397091163,2.7635251549948676,1.5417831215314293,-1.4840878084491806,0.04597292506292537,0.02432883773534458,0.12704733486008826,0.022443040026119253,0.36185666636418123
mu,0.12,0.12,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.374859958506224,1.7378008298755188,3.7548910788381744,0.5896109958506224,0.6874003189792662,1.9166993450266607,44.43210118557692,541.6732465879852,591.1718717957925,4391.809248963014,14.854045300944678,83.36254288212184,212.7332106980156,408.97546603403805,72.91345523777775,29.3333706070639,1.6410084891831798,0.8583758874210072,-0.8662232762943051,0.07515936279343992,0.03691652046390587,0.12333715238563334,0.022185753614541538,0.6093813691955701
mu,0.13,0.13,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.68518153526971,1.4274792531120333,3.8479875518672197,0.49651452282157676,0.7033492822966507,1.82599259598682,51.787551445694774,534.3177963278674,614.6497345197855,4368.331386239022,16.574289036185533,83.03763701190624,213.11615186187896,408.7760469587589,75.18163404376631,29.41982510382217,1.451731776170243,0.7338885454894147,-0.6928020822699633,0.08425538731608732,0.03975642532341166,0.1223162230802952,0.02218903628322622,0.6888324802244538
mu,0.14,0.14,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.8713744813278,1.241286307053942,3.9410840248962655,0.4034180497925311,0.7129186602870813,1.7913805021117735,55.509422967504065,530.5959248060581,687.0955794435803,4295.885541315228,16.867526528868268,82.97856811474904,216.24281229079196,407.1306877210489,84.86495063679097,30.889861442578308,1.528838638558214,0.7249069157026128,-0.8340793131424712,0.08078850254349822,0.03534295289273472,0.12351258423975861,0.02258586456727308,0.6540912656047598
mu,0.15,0.15,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.08859958506224,1.024061203319502,3.972116182572614,0.37238589211618256,0.7240829346092506,1.8083460072207889,56.177806527846094,529.9275412457159,727.7162015458439,4255.264919212965,16.880469264636517,82.97593611994854,216.88958392344358,406.7865031403579,90.62581642535822,31.717032854219603,1.6131960648986359,0.7441267828431338,-0.9587699254412004,0.07719741076055604,0.03267180683708945,0.1245345592592926,0.02284651933182586,0.6198874530870087
mu,0.16,0.16,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.150663900414937,0.9619968879668049,4.06521265560166,0.27928941908713695,0.7272727272727272,1.8155097914937859,56.212170670322855,529.8931771032392,851.0141655667749,4131.966955192033,16.880494854370454,82.97593091401683,246.04074605101835,389.84651086588326,109.13606155184816,37.33178490450581,1.9415023517223184,0.8837341039332273,-1.2917439591269455,0.06605315509981621,0.027534518473239886,0.12824235596497222,0.02344490443355478,0.5150650469791572
mu,0.17,0.17,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.274792531120331,0.8378682572614108,4.096244813278008,0.24825726141078838,0.733652312599681,1.8307412010227724,56.21982044368554,529.8855273298766,874.5843659491243,4108.396754809683,16.880495432616286,82.97593079637939,246.37193933992162,389.6372906403222,112.80059487995709,37.89688163104893,2.006420404578623,0.9040628663086084,-1.3638377613912036,0.06428175786411888,0.026465917961287028,0.12897623062075048,0.023612020551835537,0.4984000350664368
mu,0.18,0.18,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.398921161825726,0.7137396265560166,4.158309128630705,0.18619294605809128,0.7400318979266347,1.8441530440788627,56.34652224451872,529.7588255290434,916.8579396463282,4066.12318111248,16.88077356722195,82.97587421261858,248.6461125872924,388.1899811263455,119.45373114621862,39.1096022233861,2.119984098181656,0.9408205119751986,-1.4814872328387854,0.061456109837750884,0.02483460625708407,0.1302859755921371,0.02389858139673976,0.47170165137451553
mu,0.19,0.19,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.429953319502074,0.682707468879668,4.158309128630705,0.18619294605809128,0.7416267942583732,1.4297069221424392,97.16901734351231,488.93633043004985,953.9952941845193,4028.985826574289,37.5477613799746,75.89546648468936,249.12002175512313,387.8860212902392,115.77180423658017,36.893680144058074,1.1914477206999348,0.5967623931421661,-0.35339587067050665,0.10185481829506607,0.04750288074244239,0.12135469109996248,0.022166311511090192,0.8393150472540535
mu,0.2,0.2,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.492017634854772,0.620643153526971,4.189341286307054,0.15516078838174274,0.74481658692185,1.389924506716579,103.98623675228696,482.1191110212752,965.8598975639176,4017.1212231948903,37.80226533196393,75.7690237059177,249.24907660800378,387.80310540492377,115.91871126414958,36.768861505887365,1.114750517804465,0.5378228335605652,-0.22627319535116155,0.10766182239738914,0.04799709361757913,0.1200160722652619,0.022135803999088474,0.897061704864269
mu,0.21,0.21,0.1,0.24,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.554081950207468,0.5585788381742739,4.189341286307054,0.15516078838174274,0.7480063795853269,1.3764911315061137,107.04722049931104,479.05812727425115,982.0774447138551,4000.9036760449526,37.925992218104824,75.70716829896871,249.4676644696553,387.66252738135574,117.5914792250088,36.978600488997,1.0985010042905843,0.5203837379452312,-0.19906177399766653,0.10900079324243217,0.04751850612193429,0.11973748084528207,0.022196029112155423,0.9103314390193056
