scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.44,0.44,0.1,557.9804916485931,178.9005875495035,482.36415604824174,69.67459141043265,5085.3912332560785,1111.9716598761295,7534.882374703649,858.4504181849775,325.55391423760267,93.02889747882529,0.5834503519571633,0.2505812536645939,1.1526652207670498,0.10972223493831937,0.04258161402873461,0.064017476592289,0.01177715275607945,1.7139418917917109
mu,0.45,0.45,0.1,575.3304418512967,179.13134981069473,465.01420584553813,69.07914612071303,5287.996173653639,1119.0095111063265,7332.277434306088,849.2560314199824,335.3655618240399,95.01168604031295,0.5829094680700391,0.2453796454254866,1.1834397697859018,0.10879933021089597,0.04095848228753239,0.06342015969960992,0.011946445335533332,1.715532264917415
mu,0.46,0.46,0.1,585.8078003822236,179.308327216898,454.53684731461124,68.61845746186769,5526.467251224291,1126.4980257273555,7093.806356735435,839.2974984366439,354.10932788908946,99.11120133064003,0.6044803904250554,0.2507152079988731,1.130916060260503,0.10600041106774824,0.03898148675396478,0.06407516986744882,0.012289777962465992,1.6543133835935109
mu,0.47000000000000003,0.47000000000000003,0.1,596.3216205656715,179.48514914909532,444.02302713116336,68.15460475048852,5741.972097872592,1133.4928103157913,6878.301510087134,829.8265733344814,370.6682280299991,102.91226566921016,0.6215911267453001,0.2545316211849386,1.0906622670248671,0.10385310315015454,0.03738162415387665,0.06455416740310044,0.012602988300563948,1.608774573787883
mu,0.48,0.48,0.1,599.5041036077732,179.51127475235853,440.8405440890615,68.08576320018422,5784.208901946736,1133.9892861113212,6836.064706012994,829.1479915156123,373.0090204114204,103.50577353085004,0.6221959418904367,0.25400538050661514,1.0930478466232314,0.10364496057637267,0.03709495802320804,0.06448747386801337,0.012663981162169224,1.6072107396934634
mu,0.49,0.49,0.1,603.8868628992968,179.539803191413,436.4577847975379,68.01049907004796,5874.2914217138205,1134.993001008381,6745.982186245907,827.7735079788595,380.0603307853049,105.23577765511477,0.6293568450232757,0.2556930611562513,1.0755285351744295,0.10280165207110431,0.03645082748121393,0.0646989234106507,0.012832236421779067,1.5889236891719463
mu,0.5,0.5,0.1,611.2447604244867,179.6903039433484,429.09988727234827,67.61185977707885,6038.5439809113595,1141.415326141503,6581.72962704837,818.8950763674942,393.6865669549234,108.5580523407691,0.6440735241338066,0.2596004444442057,1.0363033216738438,0.10122386495100684,0.03537772063457915,0.06519561142543948,0.013089139836721716,1.5526177719304133
mu,0.51,0.51,0.1,611.315781991777,179.69030876575627,429.0288657050578,67.61184696068783,6086.944570623096,1141.9165656111338,6533.329037336633,818.1959728772264,399.7158125390509,109.98592308335293,0.6538614318719282,0.26326677778118673,1.0043729132819137,0.10043064708394397,0.03502064056930229,0.0656677267061319,0.013218486955362001,1.5293760287055285
mu,0.52,0.52,0.1,629.1142266378095,180.01696120080445,411.2304210590252,66.73726540544182,6367.909136583901,1154.1380428773384,6252.364471375827,800.8642024918489,418.8300230243574,115.15386725308416,0.6657455916435413,0.26418534267462057,0.9840285382649707,0.09879447290218421,0.03346305870847096,0.06577198481337643,0.013598109801874599,1.5020752860432427
mu,0.53,0.53,0.1,635.2678030361865,180.06900460479363,405.07684466064836,66.59671534247852,6473.697623258549,1155.186169542309,6146.575984701178,799.3516163415231,426.6350913164868,117.4475471124914,0.6715830540717401,0.2653641381033475,0.9704500755642282,0.09813059552763341,0.032868316441415024,0.0659028450423267,0.013814721004606156,1.4890191078186101
