sample_index,sample_name,sig_A,sig_B,sig_C,sig_D,sig_A_unc,sig_B_unc,sig_C_unc,sig_D_unc,B_A,AsimovSig,signalEff,muIsoCut,egmIsoCut,dPhiCut,pixelCut,mJJCut
25,2Mu2E_200GeV_1p2GeV_24p0mm_info,3.5632088888888886,0.10636444444444444,0.8509155555555555,0.05318222222222222,0.43531525008100325,0.07521101994380647,0.21272888888888888,0.05318222222222222,107.04722049931104,0.3425078485267099,0.7790697674418604,0.21,0.1,2.0,3,150.0
32,2Mu2E_800GeV_5p0GeV_25p0mm_info,3.291751841620626,0.04131906077348066,0.7850621546961326,0.0,0.21292572601350884,0.023855570860231566,0.10398402262022305,0.0,107.04722049931104,0.3165454383962285,0.7993311036789298,0.21,0.1,2.0,3,150.0
30,2Mu2E_800GeV_0p25GeV_1p2mm_info,2.9915000000000003,0.026126637554585153,0.339646288209607,0.0,0.1976838843261401,0.018474322584450278,0.06661011735769788,0.0,107.04722049931104,0.28780419289264986,0.8910505836575875,0.21,0.1,2.0,3,150.0
35,2Mu2E_1000GeV_5p0GeV_20p0mm_info,2.9031999105545614,0.05351520572450805,0.5485308586762074,0.0,0.19708205174032256,0.026757602862254024,0.08566612771145066,0.0,107.04722049931104,0.2793467893098696,0.8282442748091603,0.21,0.1,2.0,3,150.0
34,2Mu2E_1000GeV_1p2GeV_4p8mm_info,2.836711409395973,0.06476510067114094,0.33677852348993287,0.0,0.19168719310611457,0.028963833534057674,0.06604770242438976,0.0,107.04722049931104,0.27297700722577284,0.876,0.21,0.1,2.0,3,150.0
39,2Mu2E_500GeV_0p25GeV_4p0mm_info,2.724891874180865,0.07841415465268677,0.2156389252948886,0.0,0.2311223122255118,0.03920707732634338,0.06501758230896579,0.0,107.04722049931104,0.2622614825376686,0.9025974025974026,0.21,0.1,2.0,3,150.0
40,2Mu2E_500GeV_1p2GeV_19p0mm_info,2.55734592445328,0.039648774022531474,0.3171901921802518,0.0,0.22516175369730307,0.028035916977065034,0.07929754804506295,0.0,107.04722049931104,0.24619893896167833,0.8775510204081632,0.21,0.1,2.0,3,150.0
36,2Mu2E_200GeV_0p25GeV_10p0mm_info,2.2194238358326754,0.14166535122336227,0.7555485398579321,0.14166535122336227,0.32373623894395775,0.0817905286636511,0.18888713496448303,0.0817905286636511,107.04722049931104,0.21377755088475892,0.6811594202898551,0.21,0.1,2.0,3,150.0
26,2Mu2E_200GeV_5p0GeV_100p0mm_info,2.0895723449750534,0.0,1.6631290092658588,0.12793300071275837,0.2985103349964362,0.0,0.26631377779342563,0.07386215239974762,107.04722049931104,0.20131025784203702,0.5384615384615384,0.21,0.1,2.0,3,150.0
43,2Mu2E_800GeV_1p2GeV_12p0mm_info,1.969637571730595,0.0,0.18070069465418304,0.0,0.18865706385627248,0.0,0.057142576988183064,0.0,107.04722049931104,0.18979068773417893,0.9159663865546219,0.21,0.1,2.0,3,150.0
37,2Mu2E_200GeV_1p2GeV_48p0mm_info,1.9562942779291552,0.10868301544050862,0.8151226158038147,0.0,0.32604904632152587,0.0768504972177859,0.21046375440834672,0.0,107.04722049931104,0.18850882123181043,0.6792452830188679,0.21,0.1,2.0,3,150.0
41,2Mu2E_500GeV_5p0GeV_80p0mm_info,1.9149004267425318,0.021276671408250354,0.5319167852062588,0.0,0.20184822803116015,0.021276671408250354,0.10638335704125178,0.0,107.04722049931104,0.18453185421195006,0.7758620689655172,0.21,0.1,2.0,3,150.0
33,2Mu2E_1000GeV_0p25GeV_1p0mm_info,1.8072452669644756,0.025454158689640502,0.10181663475856201,0.0,0.1516606537906511,0.017998808218843285,0.03599761643768657,0.0,107.04722049931104,0.17418638522186092,0.9342105263157895,0.21,0.1,2.0,3,150.0
46,2Mu2E_1000GeV_1p2GeV_9p6mm_info,1.671517857142857,0.017232142857142856,0.13785714285714284,0.0,0.16971692462023644,0.017232142857142856,0.048739860274644164,0.0,107.04722049931104,0.1611383544999154,0.9150943396226414,0.21,0.1,2.0,3,150.0
44,2Mu2E_800GeV_5p0GeV_50p0mm_info,1.6029221183800624,0.07455451713395639,0.37277258566978194,0.0,0.17284753725405233,0.037277258566978194,0.08335448417059964,0.0,107.04722049931104,0.15454189761573903,0.7818181818181819,0.21,0.1,2.0,3,150.0
42,2Mu2E_800GeV_0p25GeV_2p5mm_info,1.576778916544656,0.017519765739385067,0.08759882869692534,0.0,0.16620709142712223,0.017519765739385067,0.039175387143136876,0.0,107.04722049931104,0.15202749076716665,0.9375,0.21,0.1,2.0,3,150.0
47,2Mu2E_1000GeV_5p0GeV_40p0mm_info,1.462511111111111,0.03323888888888889,0.33238888888888884,0.0,0.22048184578551505,0.03323888888888889,0.10511059578215229,0.0,107.04722049931104,0.14103504415821666,0.8,0.21,0.1,2.0,3,150.0
38,2Mu2E_200GeV_5p0GeV_200p0mm_info,1.344494382022472,0.06111338100102145,1.0389274770173647,0.06111338100102145,0.2866471653832848,0.06111338100102145,0.25197692500582697,0.06111338100102145,107.04722049931104,0.12967789900630156,0.5365853658536586,0.21,0.1,2.0,3,150.0
45,2Mu2E_1000GeV_0p25GeV_2p0mm_info,0.7030945719082261,0.0,0.03348069390039172,0.0,0.15342781411819134,0.0,0.03348069390039172,0.0,107.04722049931104,0.06788153765775175,0.9545454545454545,0.21,0.1,2.0,3,150.0
